epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4555,1.43827,5.02242,1.71376,0.31553,0.04879,0.04599,0.02791,1.2308,3.57786,1.57518,7.21368e-05,7.21368e-05,7.21368e-05
2,136.456,1.24364,4.3085,1.5212,0.28282,0.25968,0.19353,0.11835,1.24222,2.83161,1.58316,0.000143755,0.000143755,0.000143755
3,202.001,1.23666,3.83457,1.49572,0.4117,0.37253,0.36776,0.23125,1.19682,2.26897,1.54637,0.000214657,0.000214657,0.000214657
4,268.734,1.24866,3.42758,1.48371,0.51391,0.48368,0.52122,0.35318,1.1007,2.0987,1.44982,0.000213778,0.000213778,0.000213778
5,334.168,1.18997,3.12094,1.44456,0.58227,0.63167,0.66996,0.45913,1.10088,1.76466,1.44844,0.000212703,0.000212703,0.000212703
6,399.303,1.17435,2.85679,1.41686,0.59352,0.73548,0.73607,0.49373,1.14977,1.63916,1.46588,0.000211629,0.000211629,0.000211629
7,464.846,1.13844,2.64963,1.39408,0.74377,0.71096,0.79703,0.54467,1.08527,1.46492,1.41851,0.000210555,0.000210555,0.000210555
8,530.096,1.11932,2.48933,1.37681,0.7888,0.73602,0.83693,0.58114,1.04608,1.30474,1.37274,0.000209481,0.000209481,0.000209481
9,595.179,1.09204,2.29483,1.35733,0.79496,0.80762,0.86218,0.60848,1.04226,1.24404,1.37913,0.000208407,0.000208407,0.000208407
10,660.74,1.09212,2.18326,1.35069,0.82876,0.79147,0.88431,0.63891,1.00557,1.13896,1.32695,0.000207333,0.000207333,0.000207333
11,726.305,1.0651,2.06399,1.33395,0.81485,0.84368,0.88706,0.62812,1.02577,1.11966,1.36227,0.000206258,0.000206258,0.000206258
12,792.061,1.07165,1.97811,1.3299,0.83024,0.83193,0.90843,0.65845,0.99859,1.0683,1.32875,0.000205184,0.000205184,0.000205184
13,857.409,1.05384,1.89855,1.32689,0.83049,0.8806,0.91546,0.67017,0.9853,0.99095,1.31861,0.00020411,0.00020411,0.00020411
14,923.268,1.05028,1.84511,1.32257,0.82935,0.86109,0.92111,0.66912,0.99307,1.02764,1.33339,0.000203036,0.000203036,0.000203036
15,990.397,1.03025,1.75358,1.30961,0.83434,0.85851,0.91617,0.67652,0.96274,1.01885,1.29233,0.000201962,0.000201962,0.000201962
16,1057.19,1.01359,1.70401,1.29662,0.87547,0.89388,0.93435,0.68622,0.96355,0.8924,1.28375,0.000200888,0.000200888,0.000200888
17,1123.36,1.02278,1.62433,1.29312,0.85299,0.91147,0.93453,0.68691,0.97452,0.8983,1.30365,0.000199814,0.000199814,0.000199814
18,1189.88,1.00593,1.56544,1.27809,0.85416,0.9045,0.93587,0.67952,0.99055,0.93273,1.31833,0.000198739,0.000198739,0.000198739
19,1255.86,0.98726,1.52099,1.27101,0.88597,0.90663,0.93801,0.68761,0.96686,0.84222,1.29707,0.000197665,0.000197665,0.000197665
20,1322.35,0.98269,1.476,1.26758,0.92044,0.91052,0.94722,0.7026,0.95711,0.80924,1.29018,0.000196591,0.000196591,0.000196591
21,1388.86,0.99444,1.46128,1.27529,0.88907,0.89799,0.94312,0.69891,0.95667,0.8472,1.26804,0.000195517,0.000195517,0.000195517
22,1456.4,0.97648,1.45013,1.26232,0.90585,0.90718,0.95065,0.70972,0.94615,0.79881,1.271,0.000194443,0.000194443,0.000194443
23,1523.72,0.95771,1.38619,1.25174,0.90758,0.92607,0.95209,0.71055,0.96037,0.76114,1.27593,0.000193369,0.000193369,0.000193369
24,1590.11,0.95635,1.3728,1.24594,0.88811,0.91159,0.94764,0.69725,0.95561,0.8033,1.2739,0.000192295,0.000192295,0.000192295
25,1656.23,0.95073,1.30065,1.23869,0.90088,0.93752,0.9575,0.7074,0.95353,0.77564,1.27822,0.00019122,0.00019122,0.00019122
26,1722.95,0.93856,1.29801,1.231,0.90887,0.92709,0.9564,0.72081,0.9232,0.75833,1.24624,0.000190146,0.000190146,0.000190146
27,1789.31,0.94597,1.27127,1.23792,0.92234,0.92759,0.95549,0.7145,0.9272,0.75319,1.25192,0.000189072,0.000189072,0.000189072
28,1855.66,0.93628,1.27018,1.23485,0.92514,0.93617,0.96411,0.72179,0.94215,0.73403,1.26491,0.000187998,0.000187998,0.000187998
29,1922.42,0.93655,1.2156,1.22959,0.93381,0.9216,0.96142,0.72616,0.90736,0.736,1.23976,0.000186924,0.000186924,0.000186924
30,1989.37,0.92153,1.21314,1.22204,0.90498,0.94521,0.96107,0.7296,0.91143,0.71966,1.24123,0.00018585,0.00018585,0.00018585
