epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.7,1.48585,4.94803,1.60104,0.49744,0.19274,0.17132,0.12112,1.15664,2.98568,1.2887,6.5249e-05,6.5249e-05,6.5249e-05
2,497.216,1.3491,3.6264,1.44462,0.80379,0.38769,0.47606,0.34572,1.14643,2.32454,1.27927,0.000127997,0.000127997,0.000127997
3,736.617,1.29158,2.78118,1.37279,0.82735,0.4715,0.60489,0.44676,1.12467,1.91002,1.22745,0.000188157,0.000188157,0.000188157
4,973.418,1.2553,2.2476,1.33843,0.8221,0.54688,0.68687,0.49489,1.09711,1.62241,1.24854,0.000184358,0.000184358,0.000184358
5,1206.42,1.20943,1.88004,1.30406,0.87695,0.68174,0.78484,0.57541,1.06816,1.40386,1.21913,0.000180477,0.000180477,0.000180477
6,1440.35,1.16477,1.63706,1.27008,0.79649,0.75958,0.82891,0.59941,1.11711,1.24322,1.24795,0.000176596,0.000176596,0.000176596
7,1677.73,1.14478,1.4931,1.25764,0.79981,0.70447,0.82502,0.61136,1.05004,1.28886,1.21698,0.000172715,0.000172715,0.000172715
8,1910.25,1.12623,1.37354,1.24276,0.78436,0.82331,0.86572,0.63281,1.03495,1.06105,1.19928,0.000168834,0.000168834,0.000168834
9,2147.46,1.09761,1.27078,1.22514,0.80607,0.85994,0.89363,0.66314,1.04083,0.98068,1.20003,0.000164954,0.000164954,0.000164954
10,2380.72,1.07996,1.2164,1.21518,0.89293,0.84184,0.92743,0.69445,1.00388,0.87676,1.16949,0.000161073,0.000161073,0.000161073
11,2617.17,1.06647,1.13593,1.20394,0.88258,0.85135,0.92061,0.68061,1.01452,0.90096,1.17592,0.000157192,0.000157192,0.000157192
12,2856.2,1.04987,1.09734,1.19767,0.87048,0.81998,0.89877,0.66804,1.00437,0.88785,1.1769,0.000153311,0.000153311,0.000153311
13,3092.79,1.03754,1.06482,1.18585,0.8536,0.87137,0.90785,0.68178,0.97763,0.8609,1.15897,0.00014943,0.00014943,0.00014943
14,3330.82,1.02859,1.0209,1.18035,0.87639,0.87621,0.93702,0.69438,0.98866,0.76672,1.17055,0.00014555,0.00014555,0.00014555
15,3567.53,1.01306,0.98376,1.17108,0.8805,0.86996,0.92445,0.69066,0.99669,0.80687,1.16111,0.000141669,0.000141669,0.000141669
16,3804.63,1.0018,0.97208,1.16509,0.91721,0.88172,0.94402,0.71032,0.96104,0.73081,1.1532,0.000137788,0.000137788,0.000137788
17,4047.16,0.99181,0.93327,1.16255,0.89999,0.88821,0.93827,0.70932,0.97366,0.71211,1.15206,0.000133907,0.000133907,0.000133907
18,4284.51,0.98078,0.90649,1.15202,0.91904,0.87351,0.94556,0.7124,0.97617,0.696,1.14873,0.000130026,0.000130026,0.000130026
19,4519.52,0.96654,0.89169,1.14756,0.90715,0.9101,0.95535,0.71819,0.97396,0.69594,1.15739,0.000126146,0.000126146,0.000126146
20,4755.7,0.96522,0.86844,1.14439,0.90753,0.90621,0.96436,0.72631,0.96438,0.68503,1.15555,0.000122265,0.000122265,0.000122265
21,4991.14,0.95229,0.85657,1.13907,0.93276,0.90253,0.96907,0.74229,0.94499,0.66535,1.14647,0.000118384,0.000118384,0.000118384
22,5226.8,0.95064,0.84512,1.1332,0.92092,0.91398,0.96209,0.72996,0.9505,0.60522,1.13135,0.000114503,0.000114503,0.000114503
